,smiles,energies,reaction_smiles
32,[CH:10]1=[C:14]([CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[CH:13]=[CH:12][CH2:11]1.[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]([F:8])=[CH2:9]>>[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]1([F:8])[CH2:9][CH:10]2[CH2:11][CH:12]1[CH:13]=[C:14]2[CH2:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,0.008391711935999524,C=C(F)C(=O)CCCC.C1=CC(CCc2ccccc2)=CC1>>CCCCC(=O)C1(F)CC2CC1C=C2CCc1ccccc1
33,[CH2:10]1[CH:11]=[C:12]([CH2:13][CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[CH:21]=[CH:22]1.[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]([F:8])=[CH2:9]>>[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]1([F:8])[CH2:9][CH:10]2[CH:11]=[C:12]([CH2:13][CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[CH:21]1[CH2:22]2,0.014738927650000733,C=C(F)C(=O)CCCC.C1=CC(CCc2ccccc2)=CC1>>CCCCC(=O)C1(F)CC2C=C(CCc3ccccc3)C1C2
34,[CH:10]1=[C:14]([CH2:15][c:16]2[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]2)[CH:13]=[CH:12][CH2:11]1.[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]([F:8])=[CH2:9]>>[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]1([F:8])[CH2:9][CH:10]2[CH2:11][CH:12]1[CH:13]=[C:14]2[CH2:15][c:16]1[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]1,0.004250129246003098,C=C(F)C(=O)CCCC.Brc1ccc(CC2=CCC=C2)cc1>>CCCCC(=O)C1(F)CC2CC1C=C2Cc1ccc(Br)cc1
35,[CH:10]1=[CH:11][C:12]([CH2:13][c:14]2[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]2)=[CH:21][CH2:22]1.[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]([F:8])=[CH2:9]>>[CH3:1][CH2:2][CH2:3][CH2:4][C:5](=[O:6])[C:7]1([F:8])[CH2:9][CH:10]2[CH:11]=[C:12]([CH2:13][c:14]3[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]3)[CH:21]1[CH2:22]2,0.011435164338990944,C=C(F)C(=O)CCCC.Brc1ccc(CC2=CCC=C2)cc1>>CCCCC(=O)C1(F)CC2C=C(Cc3ccc(Br)cc3)C1C2
36,[CH:6]([C:7]([CH2:8][Si:9]([CH3:10])([CH3:11])[CH3:12])=[CH2:13])=[CH2:14].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH:6]=[C:7]([CH2:8][Si:9]([CH3:10])([CH3:11])[CH3:12])[CH2:13][CH2:14]1,0.005044379913996977,C=CC(=C)C[Si](C)(C)C.C=CC(C)=O>>CC(=O)C1CC=C(C[Si](C)(C)C)CC1
37,[CH2:6]=[CH:7][C:8]([CH2:9][Si:10]([CH3:11])([CH3:12])[CH3:13])=[CH2:14].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][CH:7]=[C:8]([CH2:9][Si:10]([CH3:11])([CH3:12])[CH3:13])[CH2:14]1,0.006919619775999308,C=CC(=C)C[Si](C)(C)C.C=CC(C)=O>>CC(=O)C1CCC=C(C[Si](C)(C)C)C1
38,[CH2:1]=[C:2]([CH:3]=[CH2:4])[CH3:14].[C:5]1([C:6]#[N:7])=[CH:13][CH2:12][CH2:11][CH2:10][C:8]1=[O:9]>>[CH3:1][C:2]1=[CH:3][CH2:4][C:5]2([C:6]#[N:7])[C:8](=[O:9])[CH2:10][CH2:11][CH2:12][CH:13]2[CH2:14]1,0.0061861412179951,N#CC1=CCCCC1=O.C=CC(=C)C>>CC1=CCC2(C#N)C(=O)CCCC2C1
39,[CH2:1]=[C:2]([CH:3]=[CH2:4])[CH3:14].[CH:5]1=[C:11]([C:12]#[N:13])[C:9](=[O:10])[CH2:8][CH2:7][CH2:6]1>>[CH3:1][C:2]1=[CH:3][CH2:4][CH:5]2[CH2:6][CH2:7][CH2:8][C:9](=[O:10])[C:11]2([C:12]#[N:13])[CH2:14]1,0.008697780223997142,N#CC1=CCCCC1=O.C=CC(=C)C>>CC1=CCC2CCCC(=O)C2(C#N)C1
40,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][CH:11]=[C:12]2[CH:13]=[CH2:14].[C:15]1([Br:16])=[CH:21][CH2:20][CH2:19][C:17]1=[O:18]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][CH:11]1[C:12]2=[CH:13][CH2:14][C:15]2([Br:16])[C:17](=[O:18])[CH2:19][CH2:20][CH:21]12,0.01113776080600104,C=CC1=CCCc2cc(OC)ccc21.O=C1CCC=C1Br>>COc1ccc2c(c1)CCC1C2=CCC2(Br)C(=O)CCC12
41,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][CH:11]=[C:12]2[CH:13]=[CH2:14].[CH:15]1=[C:20]([Br:21])[C:18](=[O:19])[CH2:17][CH2:16]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][CH2:10][CH:11]1[C:12]2=[CH:13][CH2:14][CH:15]2[CH2:16][CH2:17][C:18](=[O:19])[C:20]12[Br:21],0.009156104195000125,C=CC1=CCCc2cc(OC)ccc21.O=C1CCC=C1Br>>COc1ccc2c(c1)CCC1C2=CCC2CCC(=O)C21Br
