,smiles,energies,reaction_smiles
45,[CH3:1][C:2]([SH:3])=[CH2:4].[CH:5]([OH:6])=[CH:7][CH:8]=[CH:9][OH:10]>>[CH3:1][C:2]1([SH:3])[CH2:4][CH:5]([OH:6])[CH:7]=[CH:8][CH:9]1[OH:10],0.03682963003500106,OC=CC=CO.C=C(C)S>>CC1(S)CC(O)C=CC1O
46,[CH2:1]=[CH:6][CH3:5].[CH:2]([CH:3]=[CH2:4])=[CH:7][SH:8]>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH:5]=[CH:6][CH:7]1[SH:8],0.017322890782999423,C=CC=CS.C=CC>>CC1CCC=CC1S
47,[CH2:7]=[CH2:8].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][NH2:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([NH2:6])[CH2:7][CH2:8]1,0.02950565874400013,CC=CC=CN.C=C>>CC1C=CC(N)CC1
48,[CH2:3]=[CH:4][CH:5]=[CH:6][OH:7].[NH2:1][CH:2]=[CH2:8]>>[NH2:1][CH:2]1[CH2:3][CH:4]=[CH:5][CH:6]([OH:7])[CH2:8]1,0.02399765085399963,C=CC=CO.C=CN>>NC1CC=CC(O)C1
49,[CH3:1][CH:2]=[CH:3][CH:4]=[CH2:5].[CH:6]([OH:7])=[CH2:8]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][CH:6]([OH:7])[CH2:8]1,0.02080994727100105,C=CC=CC.C=CO>>CC1C=CCC(O)C1
50,[CH3:1][C:2]([Cl:3])=[CH2:4].[CH:5]([OH:6])=[CH:7][CH:8]=[CH:9][NH2:10]>>[CH3:1][C:2]1([Cl:3])[CH2:4][CH:5]([OH:6])[CH:7]=[CH:8][CH:9]1[NH2:10],0.03280383526699637,NC=CC=CO.C=C(C)Cl>>CC1(Cl)CC(O)C=CC1N
51,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6].[CH:7]([OH:8])=[CH:9][OH:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[CH:7]([OH:8])[CH:9]1[OH:10],0.03512376359000058,CC=CC=CC.OC=CO>>CC1C=CC(C)C(O)C1O
52,[CH:4](=[CH2:5])[CH:8]=[CH:6][Br:7].[OH:1][CH:2]=[CH2:3]>>[OH:1][CH:2]1[CH2:3][CH:4]=[CH:5][CH:6]([Br:7])[CH2:8]1,0.02855006866299803,C=CC=CBr.C=CO>>OC1CC=CC(Br)C1
53,[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][NH2:6].[CH:7]([NH2:8])=[CH:9][OH:10]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([NH2:6])[CH:7]([NH2:8])[CH:9]1[OH:10],0.05761481361199827,CC=CC=CN.NC=CO>>CC1C=CC(N)C(N)C1O
54,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[CH:6][F:7].[C:8]([NH2:9])([SH:10])=[C:11]([OH:12])[OH:13]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[CH:5][CH:6]([F:7])[C:8]([NH2:9])([SH:10])[C:11]1([OH:12])[OH:13],0.05698382253800105,CC(C)=CC=CF.NC(S)=C(O)O>>CC1(C)C=CC(F)C(N)(S)C1(O)O
55,[C:7]([CH3:8])([SH:9])=[CH:10][CH3:11].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[C:7]([CH3:8])([SH:9])[CH:10]1[CH3:11],0.03667364146500063,CC=CC=CC.CC=C(C)S>>CC1C=CC(C)C(C)(S)C1C
56,[CH2:3]=[CH:4][CH:5]=[C:6]([CH3:7])[OH:8].[CH3:1][CH:2]=[CH:9][OH:10]>>[CH3:1][CH:2]1[CH2:3][CH:4]=[CH:5][C:6]([CH3:7])([OH:8])[CH:9]1[OH:10],0.037834109584999,C=CC=C(C)O.CC=CO>>CC1CC=CC(C)(O)C1O
57,[CH3:1][C:2]([CH3:3])=[CH2:4].[CH:5]([OH:6])=[CH:7][CH:8]=[C:9]([OH:10])[OH:11]>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH:5]([OH:6])[CH:7]=[CH:8][C:9]1([OH:10])[OH:11],0.04035868098200268,OC=CC=C(O)O.C=C(C)C>>CC1(C)CC(O)C=CC1(O)O
58,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH2:5]=[CH:8][CH:7]=[CH2:6]>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH:5]=[CH:6][CH2:7][CH2:8]1,0.020693083370002086,C=CC=C.C=C(C)C>>CC1(C)CC=CCC1
59,[CH:3]([NH2:4])=[CH:5][CH:6]=[C:7]([CH3:8])[Br:9].[CH3:1][CH:2]=[C:10]([CH3:11])[SH:12]>>[CH3:1][CH:2]1[CH:3]([NH2:4])[CH:5]=[CH:6][C:7]([CH3:8])([Br:9])[C:10]1([CH3:11])[SH:12],0.039620017750003456,CC(Br)=CC=CN.CC=C(C)S>>CC1C(N)C=CC(C)(Br)C1(C)S
60,[C:7]([CH3:8])([CH3:9])=[CH:10][OH:11].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[C:7]([CH3:8])([CH3:9])[CH:10]1[OH:11],0.04049236056300032,CC=CC=CC.CC(C)=CO>>CC1C=CC(C)C(C)(C)C1O
61,[CH2:5]=[C:6]([CH3:7])[NH2:8].[CH2:1]=[CH:4][CH:3]=[CH:2][CH3:9]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH2:5][C:6]([CH3:7])([NH2:8])[CH2:9]1,0.021525040653003202,C=CC=CC.C=C(C)N>>CC1C=CCC(C)(N)C1
62,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[C:6]([CH3:7])[SH:8].[CH:9]([NH2:10])=[CH:11][Br:12]>>[CH3:1][C:2]1([CH3:3])[CH:4]=[CH:5][C:6]([CH3:7])([SH:8])[CH:9]([NH2:10])[CH:11]1[Br:12],0.058135760637000544,CC(C)=CC=C(C)S.NC=CBr>>CC1(C)C=CC(C)(S)C(N)C1Br
63,[CH2:4]=[CH:8][OH:9].[OH:1][CH:2]=[CH:3][CH:7]=[CH:5][Cl:6]>>[OH:1][CH:2]1[CH:3]=[CH:4][CH:5]([Cl:6])[CH2:7][CH:8]1[OH:9],0.05406264882600098,OC=CC=CCl.C=CO>>OC1C=CC(Cl)CC1O
64,[CH3:1][CH:2]=[CH:3][CH:4]=[C:5]([NH2:6])[OH:7].[CH:8]([CH3:9])=[CH:10][OH:11]>>[CH3:1][CH:2]1[CH:3]=[CH:4][C:5]([NH2:6])([OH:7])[CH:8]([CH3:9])[CH:10]1[OH:11],0.036189764485996534,CC=CC=C(N)O.CC=CO>>CC1C=CC(N)(O)C(C)C1O
65,[OH:1][CH:2]=[CH2:6].[CH2:3]1[C:4]([Cl:5])=[CH:9][CH:8]=[CH:7]1>>[OH:1][CH:2]1[CH2:3][C:4]2([Cl:5])[CH:6]=[CH:7][CH:8]1[CH2:9]2,0.02509512897799837,ClC1=CC=CC1.C=CO>>OC1CC2(Cl)C=CC1C2
66,[C:9]([SH:10])([SH:11])=[C:12]([CH3:13])[OH:14].[CH3:1][C:2]([OH:3])=[CH:4][CH:5]=[C:6]([OH:7])[I:8]>>[CH3:1][C:2]1([OH:3])[CH:4]=[CH:5][C:6]([OH:7])([I:8])[C:9]([SH:10])([SH:11])[C:12]1([CH3:13])[OH:14],0.05640767026699933,CC(O)=CC=C(O)I.CC(O)=C(S)S>>CC1(O)C=CC(O)(I)C(S)(S)C1(C)O
67,[CH:7]([Br:8])=[CH2:9].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][OH:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([OH:6])[CH:7]([Br:8])[CH2:9]1,0.0195310744989996,CC=CC=CO.C=CBr>>CC1C=CC(O)C(Br)C1
68,[CH:3]([OH:4])=[CH:5][CH:6]=[C:7]([CH3:8])[SH:9].[CH3:1][CH:2]=[CH:10][SH:11]>>[CH3:1][CH:2]1[CH:3]([OH:4])[CH:5]=[CH:6][C:7]([CH3:8])([SH:9])[CH:10]1[SH:11],0.03119806268899339,CC(S)=CC=CO.CC=CS>>CC1C(O)C=CC(C)(S)C1S
