,smiles,descriptors
30,[CH:16]([C:17](=[O:18])[N:19]1[C:20](=[O:21])[O:22][CH2:23][CH:24]1[CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)=[CH2:32].[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[N:10]1[CH:11]=[CH:12][CH:13]=[CH:14][CH2:15]1>>[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[N:10]1[CH2:11][CH:12]2[CH:13]=[CH:14][CH:15]1[CH:16]([C:17](=[O:18])[N:19]1[C:20](=[O:21])[O:22][CH2:23][CH:24]1[CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH2:32]2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,[CH2:16]=[CH:17][C:18](=[O:19])[N:20]1[C:21](=[O:22])[O:23][CH2:24][CH:25]1[CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1.[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[N:10]1[CH:11]=[CH:12][CH:13]=[CH:14][CH2:15]1>>[O:1]=[C:2]([O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[N:10]1[CH2:11][CH:12]2[CH:13]=[CH:14][CH:15]1[CH2:16][CH:17]2[C:18](=[O:19])[N:20]1[C:21](=[O:22])[O:23][CH2:24][CH:25]1[CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]([CH:6]=[CH2:7])=[CH2:13].[CH:8]([CH:9]=[O:10])=[CH:11][CH3:12]>>[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]1=[CH:6][CH2:7][CH:8]([CH:9]=[O:10])[CH:11]([CH3:12])[CH2:13]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]([CH:6]=[CH2:7])=[CH2:13].[CH:8]([CH3:9])=[CH:10][CH:11]=[O:12]>>[CH3:1][CH:2]([CH3:3])[CH2:4][C:5]1=[CH:6][CH2:7][CH:8]([CH3:9])[CH:10]([CH:11]=[O:12])[CH2:13]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,[CH:6]([C:7]([CH3:8])=[CH2:9])=[CH2:10].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH:6]=[C:7]([CH3:8])[CH2:9][CH2:10]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,[CH2:6]=[CH:7][C:8]([CH3:9])=[CH2:10].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH3:1][C:2](=[O:3])[CH:4]1[CH2:5][CH2:6][CH:7]=[C:8]([CH3:9])[CH2:10]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,[CH:17]([C:18]([CH3:19])=[O:20])=[CH2:21].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]1[O:9][CH:10]1[C:11]([O:12][CH3:13])=[CH:14][CH:15]=[C:16]4[CH:22]([CH2:23]2)[N:24]([CH2:25][CH:26]2[CH2:27][CH2:28]2)[CH2:29][CH2:30][C:31]314>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]1[O:9][CH:10]1[C:11]4([O:12][CH3:13])[CH:14]=[CH:15][C:16]5([CH:17]([C:18]([CH3:19])=[O:20])[CH2:21]4)[CH:22]([CH2:23]2)[N:24]([CH2:25][CH:26]2[CH2:27][CH2:28]2)[CH2:29][CH2:30][C:31]315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,[CH2:17]=[CH:18][C:19]([CH3:20])=[O:21].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]1[O:9][CH:10]1[C:11]([O:12][CH3:13])=[CH:14][CH:15]=[C:16]4[CH:22]([CH2:23]2)[N:24]([CH2:25][CH:26]2[CH2:27][CH2:28]2)[CH2:29][CH2:30][C:31]314>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]1[O:9][CH:10]1[C:11]4([O:12][CH3:13])[CH:14]=[CH:15][C:16]5([CH2:17][CH:18]4[C:19]([CH3:20])=[O:21])[CH:22]([CH2:23]2)[N:24]([CH2:25][CH:26]2[CH2:27][CH2:28]2)[CH2:29][CH2:30][C:31]315,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
38,[CH2:8]=[CH:9][C:10]([O:11][Si:12]([CH:13]([CH3:14])[CH3:15])([CH:16]([CH3:17])[CH3:18])[CH:19]([CH3:20])[CH3:21])=[CH2:22].[CH3:1][C:2]1=[CH:3][C:4](=[O:5])[C:6]([CH3:7])=[C:23]([I:24])[C:25]1=[O:26]>>[CH3:1][C:2]1=[CH:3][C:4](=[O:5])[C:6]2([CH3:7])[CH2:8][CH:9]=[C:10]([O:11][Si:12]([CH:13]([CH3:14])[CH3:15])([CH:16]([CH3:17])[CH3:18])[CH:19]([CH3:20])[CH3:21])[CH2:22][C:23]2([I:24])[C:25]1=[O:26],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,[CH2:9]=[C:10]([O:11][Si:12]([CH:13]([CH3:14])[CH3:15])([CH:16]([CH3:17])[CH3:18])[CH:19]([CH3:20])[CH3:21])[CH:22]=[CH2:23].[CH3:1][C:2]1=[C:3]([I:4])[C:5](=[O:6])[C:7]([CH3:8])=[CH:24][C:25]1=[O:26]>>[CH3:1][C:2]1=[C:3]([I:4])[C:5](=[O:6])[C:7]2([CH3:8])[CH2:9][C:10]([O:11][Si:12]([CH:13]([CH3:14])[CH3:15])([CH:16]([CH3:17])[CH3:18])[CH:19]([CH3:20])[CH3:21])=[CH:22][CH2:23][CH:24]2[C:25]1=[O:26],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
